description,purchase_price,sold_price,tax,shipping_cost,profit,amount_due_to_customer,net_profit,roi,date_sold,notes
Weekly World Newspaper,0.00,26.21,3.99,2.87,10.74,11.00,-0.26,0,2022-02-07,DC
Dale Earnhardt Wall Clock,0.00,41.12,2.70,8.47,23.20,11.60,11.60,0,2022-02-07,D&M
Brookfield 12x12 Scrapbook Kit,5.00,36.51,2.07,8.37,14.91,0.00,14.91,298,2022-02-21,GW 2/12
Weekly World Newspaper,0.00,26.21,3.99,2.87,10.74,11.00,-0.26,0,2022-03-03,DC
Wrinkle in Time,0.00,5.66,0.00,0.00,1.75,0.00,1.75,0,2022-03-09,OS
Sisters: A Graphic Novel,0.00,5.69,0.00,0.00,2.11,0.00,2.11,0,2022-03-13,OS
Weekly World Newspaper,0.00,26.18,2.19,3.10,14.50,11.00,3.50,0,2022-03-24,DC
Weekly World Newspaper,0.00,25.39,0.00,2.29,16.71,11.00,5.71,0,2022-05-02,DC
WWN Newspaper,0.00,25.39,1.40,2.29,15.31,11.00,4.31,0,2022-05-02,DC
Scrabble Flash,0.00,42.30,0.00,2.40,32.92,0.00,32.92,0,2022-05-09,OS
WWN Newspaper,0.00,25.91,0.00,3.22,14.38,0.00,14.38,0,2022-05-31,OS
Tweak Hair Color,0.50,19.06,0.00,3.22,11.65,0.00,11.65,23,2022-05-28,GW .50
Fleet Glycerein Suppositors,0.00,18.50,0.00,7.02,7.71,0.00,7.71,0,2022-06-01,OS
Fallout 76 Video Game,3.80,14.03,0.00,0.00,5.49,0.00,5.49,,,
Ceaco All Aboard Valley Puzzle,0.00,14.52,0.00,0.00,3.62,0.00,3.62,,,
Race with Ryan - PlayStation 4,3.80,15.82,0.00,0.00,6.98,0.00,6.98,,,
