description,purchase_price,sold_price,tax,shipping_cost,profit,amount_due_to_customer,net_profit,roi,date_sold,notes
Vintage Sports Image Suburban Chevy,0.00,28.70,1.94,10.13,13.31,6.66,6.66,0,2022-01-03,D&M
12 T-Arts Level 5 YO-KAI Watch Plush,2.00,11.03,1.03,3.57,2.97,0.00,2.97,149,2022-01-04,GS 7/30
Spice Bottle REPLACMENT PART KitchenArt,1.00,9.63,0.63,3.87,1.92,0.00,3.87,387,2022-01-09,OS
1976 Facts in Five Game,0.00,14.77,1.51,3.82,7.43,0.00,3.82,1000,2022-01-11,OS
Nintendo Wii Fit Board,5.00,37.90,4.24,9.50,11.92,0.00,11.92,5960,2022-01-20,ARC 4/14
De Carlini Santa Claus Face Glass Ornament,0.00,49.95,3.37,3.88,31.79,0.00,31.79,0,2022-01-22,OS
Vintage Carl Fischer Conn Saxophone,0.00,146.70,0.00,28.13,103.31,51.66,51.66,0,2022-01-21,D&M
Vintage Polariod Pronto Camera,0.25,40.20,2.41,8.85,22.20,0.00,22.20,8880,2022-01-23,GS 3/26
Hot Rod Pictorial 1967 Magazine,0.00,16.56,1.09,2.56,10.75,5.38,5.38,0,2022-01-24,D&M
Kurt Adler Bears,0.00,28.21,2.75,8.85,11.40,0.00,11.40,0,2022-01-27,OS
Weekly World New,0.00,16.16,1.17,3.19,9.68,11.00,-1.32,0,2022-01-27,DC
Republican National Committee Men's Tie,2.00,8.00,0.48,3.72,-0.19,0.00,-0.19,0,2022-01-27,GW
Lot 7 VIVA Magazines,0.00,43.17,2.81,6.34,27.70,13.85,13.85,0,2022-01-28,D&M
Blink Mini Compact camera,0.00,19.85,1.81,4.42,11.44,0.00,11.44,0,2022-01-28,OS
Wallpaper Wallies Fairies,0.00,7.46,0.71,3.48,1.36,0.00,2.11,0,2022-01-28,OS
Weekly World New,0.00,16.16,1.43,3.19,7.89,11.00,-3.11,0,2022-01-28,DC
Painted Wooden Hippo,0.00,37.65,0.00,15.08,11.44,0.00,11.44,0,2022-01-29,OS
Exposures Photo Album,0.00,49.98,2.45,9.21,20.00,0.00,20.00,0,2022-01-29,OS
Costume Jewelry 13lbs,0.00,69.75,4.53,15.91,28.69,0.00,28.69,0,2022-01-30,OS
Snap On Wagon Mini,0.00,53.40,0.00,15.08,31.52,15.76,15.76,0,2022-01-30,D&M
Vintage Magee Hale Park o Meter,0.00,69.70,4.30,16.58,40.73,20.37,20.37,0,2022-01-30,D&M
Coleman 12 Cup Stainless Steel Coffee Percolator,0.00,38.90,2.72,15.08,10.54,0.00,10.54,0,2022-01-30,OS
1994 Chevrolet Suburban Official Truck Coin Bank,0.00,19.65,1.18,12.94,3.04,1.52,1.52,0,2022-01-31,D&M
Lot 62 Issues Vintage Hot Rod Magazines,0.00,67.68,0.00,20.83,36.70,18.35,18.35,0,2022-01-31,D&M
Lot 21 Playboy Magazines,0.00,117.68,10.44,17.05,73.11,36.56,36.56,0,2022-01-31,D&M
Vintage Conn 16B Trumpet,0.00,106.50,0.00,23.79,71.54,35.77,35.77,0,2022-02-01,D&M
Jeff Gordon 1/24 Diecast,0.00,18.65,1.82,10.64,3.73,1.87,1.87,0,2022-02-01,D&M
Canon 200EG Deluxe Camera Bag,10.00,36.10,0.00,20.15,-0.15,0.00,-0.15,0,2022-02-02,ARC
AT&T CL82207 DECT 6.0 Cordless Phone,0.00,49.95,3.37,12.94,24.17,0.00,24.17,0,2022-02-02,OS
Jim Cramer's CD Audiobook,0.00,8.00,0.00,3.19,2.66,0.00,2.66,0,2022-02-03,OS
Spice Label System KitchenART,0.00,8.43,0.48,3.48,3.28,0.00,3.28,0,2022-02-05,OS
Wallies Wallpaper Cutouts,0.00,8.65,0.64,3.37,1.43,0.00,1.43,0,2022-02-06,OS
New Yorker Snow Shoveler Globe,0.00,37.65,0.00,12.94,13.58,0.00,13.58,0,2022-02-07,OS
Wiliams Sonoma Corn Platter,0.00,28.18,1.43,8.65,11.08,0.00,11.08,0,2022-02-07,OS
3 Playgirl Magazines,0.00,46.67,2.90,3.82,33.54,16.77,16.77,0,2022-02-08,D&M
39 Stock Car Magazines,0.00,86.88,4.92,12.01,57.01,28.51,28.51,0,2022-02-09,D&M
Vintage Porcelain Floral Italy Bookends,0.00,83.23,6.48,8.72,52.47,0.00,52.47,0,2022-02-12,OS
Vintage Mid Century Genie Bottle,0.00,110.06,7.44,10.64,71.09,0.00,71.09,0,2022-02-12,OS
1975 Dale Earnhardt Sr #8,0.00,46.81,3.16,12.94,25.48,12.74,12.74,0,2022-02-13,D&M
IL MAKIAGE Woke Up Like This,0.00,43.50,3.50,3.87,31.25,0.00,31.25,0,2022-02-14,OS
Facts in Five Game Vintage,0.00,26.73,1.98,14.58,6.06,0.00,6.06,0,2022-02-14,OS
Vincent Bach Corp 3F Trumpet Mouthpiece,0.00,30.40,0.00,3.72,23.78,11.89,11.89,0,2022-02-16,D&M
Anchor Hocking Old Fashioned Glass,0.00,40.38,1.18,17.21,15.64,0.00,15.64,0,2022-02-17,OS
Grinch Slippers,0.00,21.45,1.50,4.50,10.89,0.00,10.89,0,2022-02-19,OS
