description,purchase_price,sold_price,tax,shipping_cost,profit,amount_due_to_customer,net_profit,roi,date_sold,notes
Pulp Fiction,0.00,50.00,0.00,5.99,37.26,0.00,37.26,0,2022-01-29,OS
3M #1 Diecast Car,0.00,10.00,0.00,0.00,8.41,4.21,4.21,0,2022-01-30,D&M
Squishmallow Tibby Plush,0.00,15.00,0.00,3.65,9.11,0.00,9.11,0,2022-01-31,OS
Newton Womens Pink Gravity Shoes,0.00,22.00,0.00,0.00,18.86,0.00,18.86,0,2022-02-11,
Sanky Super 8 Projector,0.00,40.00,0.00,0.00,34.54,0.00,34.54,0,2022-02-12,
Calico Cat Build a Bear Plush,0.00,12.00,0.00,0.00,10.15,0.00,9.15,0,2022-04-01,OS
WWN Newspaper,0.00,18.00,0.00,0.00,15.38,11.00,4.38,0,2022-04-22,DC
Color Street Party Paws,0.00,13.00,0.00,3.72,7.30,0.00,7.30,0,2022-05-01,OS
Color Street Costa Rica,0.00,13.00,0.00,0.00,11.02,0.00,11.02,0,2022-05-01,OS
Footed Jasperware Bowl,0.00,112.00,0.00,17.75,79.50,0.00,79.50,0,2022-05-23,OS
ELF Studio Daily Brush Cleaner,1.65,5.00,0.00,0.00,2.40,0.00,2.40,1,2022-05-25,WholeNinjas 5/17/22
Maybelline 50 LipStick,1.65,4.00,0.00,0.00,1.53,0.00,1.53,1,2022-05-25,WholeNinjas 5/17/22
8 Milani Lipgloss 15,13.20,32.00,0.00,0.00,14.37,0.00,14.37,1,2022-05-25,WholeNinjas 5/17/22
Vtg 1971 May Day Wyeth Print,0.00,157.00,0.00,0.00,136.45,0.00,133.45,0,2022-07-14,OS
6 Pack WWN Sitckers,0.00,12.00,0.00,3.72,6.43,0.00,6.43,0,2022-07-14,OS
Amercian Girl Doll Tent,0.00,20.00,0.00,0.00,17.12,11.98,5.14,0,,Allie (J&S)
1978 Nat'l Geopgraphic Mag Set,0.00,9.00,0.00,0.00,7.54,0.00,7.54,,,OS
American Girl Doll Purple Pajamas,0.00,14.00,0.00,0.00,11.89,8.32,3.57,,,J&S (Shelby)
2 Itty bitty Baby Sleppers,0.00,14.00,0.00,0.00,9.92,6.94,2.98,,,J&S
