description,purchase_price,sold_price,tax,"shipping_cost	profit",profit,amount_due_to_customer,net_profit,roi,date_sold,notes
Wrangler Retro Women Western Shirt,0.00,14.00,0.00,0.00,11.05,0.00,11.05,0,2022-01-28,OS
Constitutional Law Book,0.00,10.00,0.00,0.00,7.05,0.00,7.05,0,2022-01-29,os
Tupperware 1339-4 Harvest Orange,0.00,13.00,0.00,0.00,10.05,0.00,10.05,0,2022-02-05,OS
Leonardo Set 6 Glasses Punch Bowl,0.00,30.00,0.00,0.00,24.00,0.00,24.00,0,2022-03-11,OS
RC #3,0.00,20.00,2.08,0.00,16.00,8.00,8.00,0,2022-04-26,D&M
6 Pack of Weekly World News Stickers,0.00,10.00,0.00,0.00,7.05,3.53,3.53,0,2022-05-01,DC
Bundle-Bonnet Dryer/Ion HL-V Dye,3.00,13.00,0.00,0.00,10.05,0.00,10.05,335,2022-05-22,GW 5/11/22
Scuddles Bassinet,6.00,10.00,0.00,0.00,1.05,0.00,1.05,18,2022-06-02,GW 2/1/22
WWN Newspaper,0.00,20.00,0.00,0.00,16.00,0.00,16.00,0,2022-06-07,OS
Peter Thomas Roth Cream,4.00,31.00,0.00,2.68,18.12,0.00,18.12,453,2022-07-22,BF 5/23/22
2 LeapFrog Leapster Learning,3.00,50.00,0.00,0.00,40.00,0.00,40.00,,,
Amazon Fire TV Stick,5.00,30.00,0.00,0.00,24.00,0.00,24.00,,,
American Girl All Purpose Bag Carrier,0.00,8.00,0.00,0.00,5.05,3.54,1.52,,,J&S (Shelby)
American Girl Doll Josefina,0.00,40.00,0.00,0.00,32.00,22.40,9.60,,,J&S (Shelby)
