order_id,listed_price,date_listed,total_amazon_fees
114-2945025-7350614,26.21,2022-02-01,8.61
112-2021223-7582652,41.12,2022-02-01,6.75
112-5890202-4211415,36.51,2022-02-01,6.16
111-5955619-5277003,26.21,2022-02-01,8.61
114-0941545-1827425,5.66,2022-03-09,3.59
114-3922431-6154621,5.69,2022-03-13,3.58
111-3523281-9877832,26.18,2022-03-24,6.39
112-0571338-8165808,25.39,2022-04-01,6.39
112-0571338-8165808,25.39,2022-05-01,6.39
114-0108242-1890620,42.3,null,6.98
111-7858448-8470667,25.91,null,8.31
111-7858448-8470667,19.06,null,3.69
113-6498498-4505807,18.5,null,3.77
112-6000725-3017030,14.03,null,4.74
111-4620600-7161839,14.52,null,10.9
113-8068796-5452212,15.82,null,5.04
