order_id,listed_price,date_listed,total_poshmark_fees
61f475c0ab62c54f7814bb26,14.00,null,2.95
61f55efa47471a9532def011,10.00,null,2.95
61ff35b147e0e4d12baa7998,13.00,2022-01-20,2.95
622c08a4ca86645ac4f8a0c5,30.00,2022-01-20,6.00
6267e4f6db99b929ddba51d9,20.00,2021-07-16,4.00
626ed1b0aa54278619e6d01e,10.00,2022-01-10,2.95
628a961a421e32a3e4a85a7e,13.00,2022-05-20,2.95
6298be7b6ab2f4c336862a22,10.00,2022-02-02,2.95
629ff479cdb478f833b08ee3,20.00,2021-10-06,4.00
62dad72c170e4a6fc6775001,31.00,null,6.20
62e7e50f9c38ceb965513257,50.00,null,10.00
62ec07f42fc59fcefcf7bc49,30.00,null,6.00
62ffde4a9aaf55ae4e1397c6,8.00,null,2.95
630cbaab93508457cedd5585,40.00,null,8.00
